Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-04-14,Beauty and the Beast,1991,https://boxd.it/15iept,4,,,2020-04-14
2020-04-15,The Breakfast Club,1985,https://boxd.it/15psbz,4,,,2020-04-14
2020-04-17,Little Women,2019,https://boxd.it/15DvxV,4.5,Yes,,2020-04-16
2020-04-21,Tigertail,2020,https://boxd.it/16aha5,3,,,2020-04-21
2020-04-22,Aladdin,1992,https://boxd.it/16hpD9,3.5,,,2020-04-22
2020-04-24,The Lion King,1994,https://boxd.it/16veaX,4,,,2020-04-24
2020-04-25,One Hundred and One Dalmatians,1961,https://boxd.it/16Cd9j,3,,,2020-04-25
2020-04-26,Lilo & Stitch,2002,https://boxd.it/16JdZt,3.5,,,2020-04-26
2020-04-27,Snow White and the Seven Dwarfs,1937,https://boxd.it/16THRz,3.5,,,2020-04-27
2020-04-28,Mad Max: Fury Road,2015,https://boxd.it/171wMJ,4.5,,,2020-04-28
2020-04-29,Sleeping Beauty,1959,https://boxd.it/178l91,3,,,2020-04-29
2020-04-30,Fantasia,1940,https://boxd.it/17fCRj,3,,,2020-04-30
2020-05-03,47 Meters Down,2017,https://boxd.it/17Hzcj,1.5,,,2020-05-02
2020-05-04,Lady and the Tramp,1955,https://boxd.it/17MWYZ,3.5,,,2020-05-03
2020-05-05,Dumbo,1941,https://boxd.it/17Uq9h,3,,,2020-05-04
2020-05-08,Ocean's Eleven,2001,https://boxd.it/18fgg5,4,,,2020-05-07
